date,close,volume,open,high,low
5/2/2019,208.65,"15,907,619",209.65,212.65,208.6
5/1/2019,210.52,64827330,200.67,215.31,209.23
4/30/2019,200.67,45751160,203.06,203.4,199.11
4/29/2019,204.61,22010360,204.4,205.97,203.86
4/26/2019,204.3,18612770,204.9,205,202.12
4/25/2019,205.28,18463850,206.83,207.76,205.12
4/24/2019,207.16,17427570,207.36,208.48,207.05
4/23/2019,207.48,23286380,204.43,207.75,203.9
4/22/2019,204.53,17841920,202.83,204.94,202.34
4/18/2019,203.86,24185530,203.12,204.15,202.52
4/17/2019,203.13,28865310,199.54,203.38,198.61
4/16/2019,199.25,25668330,199.46,201.37,198.56
4/15/2019,199.23,17524150,198.58,199.85,198.01
4/12/2019,198.87,27738580,199.2,200.14,196.21
4/11/2019,198.95,20543190,200.85,201,198.4431
4/10/2019,200.62,21654750,198.68,200.74,198.18
4/9/2019,199.5,35738280,200.32,202.85,199.23
4/8/2019,200.1,25829880,196.42,200.23,196.34
4/5/2019,197,18473070,196.45,197.1,195.93
4/4/2019,195.69,19090050,194.79,196.37,193.14
4/3/2019,195.35,23243160,193.25,196.5,193.15
4/2/2019,194.02,22727370,191.09,194.46,191.05
4/1/2019,191.24,27308200,191.64,191.68,188.38
3/29/2019,189.95,23524830,189.83,190.08,188.54
3/28/2019,188.72,20710390,188.95,189.559,187.53
3/27/2019,188.47,29771210,188.75,189.76,186.55
3/26/2019,186.79,49696100,191.664,192.88,184.58
3/25/2019,188.74,43751810,191.51,191.98,186.6
3/22/2019,191.05,42287640,195.34,197.69,190.78
3/21/2019,195.09,50943120,190.02,196.33,189.81
3/20/2019,188.16,31003380,186.23,189.49,184.73
3/19/2019,186.53,31440300,188.35,188.99,185.92
3/18/2019,188.02,26148590,185.8,188.39,185.79
3/15/2019,186.12,39017490,184.85,187.33,183.74
3/14/2019,183.73,23527660,183.9,184.1,182.56
3/13/2019,181.71,30929740,182.25,183.3,180.92
3/12/2019,180.91,32416800,180,182.67,179.37
3/11/2019,178.9,31123000,175.49,179.12,175.35
3/8/2019,172.91,23985960,170.32,173.07,169.5
3/7/2019,172.5,24755470,173.87,174.44,172.02
3/6/2019,174.52,20755140,174.67,175.49,173.94
3/5/2019,175.53,19238480,175.94,176,174.54
3/4/2019,175.85,27413060,175.69,177.75,173.97
3/1/2019,174.97,25737560,174.28,175.15,172.89
2/28/2019,173.15,27953810,174.32,174.91,172.92
2/27/2019,174.87,27817640,173.21,175,172.73
2/26/2019,174.33,16991610,173.71,175.3,173.1732
2/25/2019,174.23,21846400,174.16,175.87,173.95
2/22/2019,172.97,18890250,171.58,173,171.38
2/21/2019,171.06,17154540,171.8,172.37,170.3
2/20/2019,172.03,25323890,171.19,173.32,170.99
2/19/2019,170.93,18958570,169.71,171.44,169.49
2/15/2019,170.42,24603320,171.25,171.7,169.75
2/14/2019,170.8,21785180,169.71,171.2615,169.38
2/13/2019,170.18,22389660,171.39,172.48,169.92
2/12/2019,170.89,22224400,170.1,171,169.7
2/11/2019,169.43,20940020,171.05,171.21,169.25
2/8/2019,170.41,23793830,168.99,170.66,168.42
2/7/2019,170.94,31644240,172.4,173.94,170.34
2/6/2019,174.24,28204640,174.65,175.57,172.8531
2/5/2019,174.18,36054570,172.86,175.08,172.3501
2/4/2019,171.25,31384720,167.41,171.655,167.28
2/1/2019,166.52,32644590,166.96,168.98,165.93
